,FR-CRC,AT-CRC,CN-CRC,US-CRC,DE-CRC
CCIS00146684ST-4-0,0.5457019442519156,0.3977222232258477,0.5973258808730374,0.49793304898133756,0.49709160040871697
CCIS00281083ST-3-0,0.5070412194755713,0.4091461889903574,0.5992504221898056,0.49994393665485676,0.4818208042831713
CCIS02124300ST-4-0,0.7917972155196995,0.40583359010332326,0.6025650029247989,0.5012984071429228,0.4987918392534461
CCIS02379307ST-4-0,0.8153863307397833,0.40290488078235137,0.6040365558505028,0.5002219615196557,0.5010286436483695
CCIS02856720ST-4-0,0.1835910563123585,0.40443783997711236,0.5999927091521926,0.5006270411612123,0.49711133480426956
CCIS03473770ST-4-0,0.543369606867959,0.40361131949692297,0.6007273430510497,0.4971658269950584,0.4965067457057766
CCIS03857607ST-4-0,0.17934583651601887,0.402039485501497,0.6062123994508202,0.5009667799335354,0.49727035390791
CCIS05314658ST-4-0,0.509621260776326,0.4007394643593119,0.6012211468362331,0.5016272455970543,0.4992063759251167
CCIS06260551ST-3-0,0.1752393122567046,0.40322616426828134,0.6037038474108565,0.5018841383918946,0.5006479400207442
CCIS07277498ST-4-0,0.29418225017401645,0.4031558919475731,0.5972913083520344,0.49908716147090243,0.4955821361502452
CCIS07539127ST-4-0,0.45031774568731614,0.40218517815676086,0.6013891701232136,0.498080837193776,0.5001892782176549
CCIS07648107ST-4-0,0.5618619227381585,0.4010913564612842,0.6024501961375649,0.5008456576648104,0.49906912649568186
CCIS09568613ST-4-0,0.12077463637171586,0.41059244700900155,0.6015789079588938,0.5006522001620586,0.49845175531515973
CCIS10706551ST-3-0,0.1164453828982143,0.40853318895423635,0.5960896859340384,0.5000873314160647,0.5065270182319224
CCIS11015875ST-4-0,0.9915805727898797,0.40300525027866646,0.6026254041521848,0.49980739220641834,0.49927475042215774
CCIS11354283ST-4-0,0.3358919033254953,0.39944474325259566,0.5977063571599703,0.50092171288678,0.49823297372020287
CCIS11362406ST-4-0,0.8535104000344829,0.4057275609044593,0.6023960151696892,0.5030651925410737,0.4965983762375684
CCIS11558985ST-4-0,0.5306467123032226,0.4221415517691978,0.5955127226882541,0.5010759037517977,0.4972734115551614
CCIS12370844ST-4-0,0.4116013260588584,0.4027949599987228,0.6046303570050239,0.5027734499337061,0.5011624577333786
CCIS12656533ST-4-0,0.7922763105420264,0.401356570297785,0.603830412867736,0.5004685806108334,0.5000668932732475
CCIS13047523ST-4-0,0.012731678038593505,0.4006408303463975,0.5978982134320684,0.5000891309251726,0.49922383207532645
CCIS14449628ST-4-0,0.8524951632566784,0.40336907966551294,0.6014935128440931,0.5002623689723054,0.49931240198195037
CCIS15704761ST-4-0,0.15455676469940405,0.4041347507790195,0.60744267048691,0.497570988068809,0.5001788269998859
CCIS15794887ST-4-0,0.4286804924723584,0.4029842430725415,0.6073166659701817,0.49983384145084897,0.4994238976609374
CCIS16326685ST-4-0,0.5977962020561582,0.4038023406733395,0.6027109514552519,0.5010109809743886,0.49603673513841806
CCIS16383318ST-4-0,0.6830742075554015,0.40735317200682764,0.6028318069729677,0.49894208358515774,0.4973022391104899
CCIS16561622ST-4-0,0.3047720378712122,0.4038514572524607,0.6022136379250871,0.49621028897766983,0.4973380203986208
CCIS17669415ST-4-0,0.22853677034513198,0.4009170711562451,0.6037433995916756,0.5076930641483357,0.5044765765629801
CCIS20795251ST-4-0,0.5978933348844336,0.3996258999385635,0.6028158688365707,0.49876934211059376,0.4988859882719568
CCIS21126322ST-4-0,0.08293069781730165,0.3991262080435816,0.598981818780837,0.49919073227796223,0.5008143044192277
CCIS21278152ST-4-0,0.8496242483620847,0.4017604420505518,0.6043299436441943,0.4992161488110171,0.49790229613758913
CCIS22416007ST-4-0,0.03443841024239039,0.40730187178757626,0.6086985242549059,0.5006517151071765,0.4984349690530404
CCIS22958137ST-20-0,0.8511884711298071,0.4030607373686982,0.6018013141048086,0.5011883223725788,0.4997360280895796
CCIS23164343ST-4-0,0.1642203314691481,0.40044719272634727,0.5992515352351306,0.4956978794060764,0.4975120062448571
CCIS24254057ST-4-0,0.5631149513049148,0.4017863536669433,0.6063742086824742,0.5009316159937696,0.5046656240063244
CCIS27304052ST-3-0,0.09732143964437326,0.39958550715365077,0.6009176319345226,0.4987052339301243,0.5007791856320579
CCIS27927933ST-4-0,0.17127113765265306,0.4000655662144445,0.6047551636685881,0.501415338615144,0.4991367026838571
CCIS29210128ST-4-0,0.3979699598297537,0.4004007071147546,0.6029454321056842,0.4921852326128512,0.5033786376444624
CCIS29688262ST-20-0,0.31655141995629366,0.4289395292797821,0.6011042266028277,0.4931665365316234,0.4983097493251595
CCIS32452666ST-4-0,0.012736450863915847,0.40064375284439435,0.5984219776459183,0.49856214598114285,0.497915726421768
CCIS33816588ST-4-0,0.49678681803183444,0.4064325483318519,0.6088132385690862,0.5019468949846074,0.5022736564230013
CCIS34055159ST-4-0,0.6118555422503104,0.43839998905039457,0.6064261928204567,0.5080831100500692,0.4890004639849197
CCIS34604008ST-4-0,0.17381215860054394,0.40300494323245106,0.600006042424817,0.4999098759176538,0.49760593089583255
CCIS35100175ST-4-0,0.978985296626145,0.4059058881066441,0.6041560973704474,0.4995713991499248,0.49994107399848736
CCIS36699628ST-4-0,0.36678674134232414,0.40810949899581295,0.6005048314724192,0.503165966192984,0.49407517831778824
CCIS36797902ST-4-0,0.6762252871797921,0.403563272547587,0.6057988083283574,0.5002438516226839,0.5000117149530213
CCIS38765456ST-20-0,0.8524411536353274,0.4035013966462925,0.6038828197817437,0.499916508993146,0.49994472456369915
CCIS40244499ST-3-0,0.5959121719582178,0.4057835273693228,0.6058505248069395,0.503495774473117,0.49572145963743525
CCIS41222843ST-4-0,0.22099543274771874,0.40122457682532586,0.5989733662801141,0.4976136449435241,0.49938655925858616
CCIS41288781ST-4-0,0.17006112024896042,0.4063098920236423,0.6045732595094011,0.4985720451230587,0.499115435755519
